ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
36635	7,5,3	765,695,653	7,7,4	585,575,713	430	149
36636	193,177,176	1,1,0	181,114,128	3,1,0	166	149
36637	2,0,1	3,3,2	0,1,0	7,5,1	315	149
36638	12,12,22	86,106,115	13,8,20	100,119,96	153	149
36639	118,180,170	0,0,0	166,197,166	2,0,2	153	149
36640	5,3,2	26,18,26	0,3,1	14,6,15	183	149
36641	1,0,0	0,0,2	2,2,0	0,0,0	303	149
36642	5,1,0	0,2,0	1,0,0	0,0,2	360	149
36643	1,0,4	2,1,0	0,0,0	2,0,0	153	149
36644	0,4,0	134,134,125	0,1,0	102,126,148	416	149
36645	162,143,126	1,0,0	146,167,167	0,0,1	160	149
36646	77,105,80	0,1,0	77,92,91	0,2,1	416	149
36647	31,26,24	7,1,0	27,20,22	0,0,0	198	149
36648	14,21,15	0,1,1	9,6,15	0,0,2	381	149
36649	2,0,0	0,2,0	1,5,3	0,0,0	154	149
36650	0,1,2	0,1,2	0,8,0	0,0,0	480	149
36651	0,0,0	0,1,0	2,0,3	0,0,0	150	149
36652	15,26,12	8,4,4	26,19,31	2,9,1	494	149
36653	0,1,0	121,130,89	0,0,0	119,85,90	152	149
36654	16,17,10	3,6,4	17,19,33	4,3,1	311	149
36655	15,27,12	8,4,4	24,19,31	2,9,1	493	149
36656	1,0,0	1,0,1	0,2,0	0,0,1	368	149
36657	70,49,54	0,0,1	61,53,83	0,2,0	227	149
36658	9,4,10	1,0,0	1,5,6	1,0,2	341	149
36659	7,8,10	0,0,2	4,6,2	0,0,2	370	149
36660	3,4,3	0,0,2	5,2,2	0,0,2	178	149
36661	21,16,14	12,4,5	19,16,18	7,8,11	178	149
36662	49,24,32	0,0,0	29,25,44	1,0,0	215	149
36663	0,2,1	0,0,0	1,0,0	0,0,1	164	149
36664	1,0,0	12,4,10	0,0,0	4,8,8	169	149
36665	1,0,0	1,2,5	0,0,0	1,0,0	166	149
36666	0,1,1	521,605,597	2,0,3	362,386,373	313	149
36667	38,43,34	0,1,0	23,30,26	0,0,0	153	149
36668	170,162,221	3,2,6	123,132,150	2,0,0	223	149
36669	1,8,8	0,0,1	1,7,3	0,0,0	162	149
36670	0,1,4	0,0,0	2,5,4	1,0,0	325	149
36671	58,52,40	297,236,256	80,41,57	344,274,326	325	149
36672	975,900,818	2,0,2	970,876,1116	1,5,6	170	149
36673	6,4,2	1,0,0	1,4,8	0,0,0	169	149
36675	0,0,1	0,0,0	1,0,0	0,1,0	181	149
36676	0,0,1	0,1,0	1,0,0	0,0,0	342	149
36677	0,0,0	0,1,0	0,1,0	0,0,0	310	149
36678	7,3,5	0,0,0	1,1,2	0,0,1	225	149
36679	0,2,0	78,89,79	0,0,2	43,46,42	388	149
36680	35,58,57	0,0,0	34,46,53	0,0,2	153	149
36681	3,3,4	6,18,7	0,0,1	4,7,11	161	149
36682	446,461,492	4,2,10	420,435,414	10,2,4	153	149
36683	24,22,29	90,129,89	9,14,22	54,76,88	161	149
