ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
54634	42,40,29	1697,1653,1500	45,35,52	1769,1556,1965	164	149
54635	5,1,1	589,552,543	2,3,3	641,564,646	173	149
54636	0,0,0	0,0,3	1,0,0	0,0,0	162	149
54637	0,0,0	590,529,481	1,0,0	610,580,695	152	149
54638	797,764,549	1,0,0	924,777,930	0,0,0	267	149
54639	590,529,481	0,0,3	610,580,695	0,0,0	159	149
54640	1387,1293,1030	1,0,0	1533,1357,1625	0,0,0	264	149
54642	1,0,0	2,0,0	0,0,1	0,0,0	153	149
54643	2,0,3	2,0,0	1,1,1	0,0,0	298	149
54644	2,0,3	2,0,0	0,1,4	0,0,0	298	149
54645	11,9,2	0,0,1	15,12,17	1,1,1	229	149
54646	29,22,11	0,0,1	32,22,31	1,1,1	226	149
54647	0,0,1	18,13,10	2,1,4	19,11,18	152	149
54648	44,19,30	0,0,1	16,30,24	0,0,0	298	149
54649	9,2,1	3,0,1	2,10,2	0,0,0	298	149
54651	28,22,15	2,1,0	20,14,19	1,3,0	298	149
54652	0,0,0	0,2,2	1,0,0	0,0,0	228	149
54653	33,23,24	0,0,0	33,25,25	0,1,0	153	149
54654	10,13,5	0,1,0	18,7,8	0,0,0	174	149
54655	9,12,4	524,434,396	13,15,9	487,462,592	176	149
54656	3,2,2	1,0,4	1,1,0	2,6,3	178	149
54657	681,693,443	26,26,16	643,649,682	17,16,16	211	149
54658	524,434,396	1,0,4	487,462,592	2,6,3	151	149
54659	1202,1125,837	26,26,16	1129,1110,1274	17,16,16	184	149
54660	679,691,445	26,26,16	644,654,685	17,16,16	182	149
54661	6,15,2	30,18,28	12,14,9	26,19,33	176	149
54662	678,696,441	5,10,0	642,648,682	0,0,8	211	149
54663	708,709,469	5,10,0	668,667,715	0,0,8	184	149
54664	697,714,452	0,3,0	662,667,704	2,1,5	184	149
54665	678,693,444	0,0,0	647,651,687	1,0,0	184	149
54666	678,692,441	0,0,0	648,649,687	0,2,0	184	149
54667	1576,1440,1099	1,0,0	1459,1406,1621	0,0,0	298	149
54668	108,68,96	0,0,1	96,57,70	0,0,0	191	149
54669	1,1,3	1,0,0	1,0,0	0,1,2	234	149
54670	0,0,0	0,2,0	1,0,1	0,0,4	253	149
54671	0,1,0	280,276,271	1,0,0	268,208,281	193	149
54672	83,78,84	0,0,2	74,82,74	1,0,0	152	149
54674	390,387,324	3,4,3	343,312,391	2,5,2	151	149
54675	26,56,44	0,0,1	40,43,51	0,0,0	156	149
54676	112,151,181	2,1,2	83,122,88	1,0,3	228	149
54677	1,3,3	0,0,1	0,2,4	0,0,0	153	149
54678	167,147,136	0,0,0	126,108,168	2,2,0	152	149
54679	2,0,0	470,353,403	0,3,1	425,347,437	160	149
54680	11,8,10	17,3,6	0,7,6	10,5,9	159	149
54681	28,22,17	0,0,0	14,18,11	0,2,2	232	149
54682	34,17,13	0,0,0	24,16,14	0,2,2	222	149
54683	0,6,2	136,140,117	4,6,6	118,117,156	246	149
54684	73,58,56	0,0,0	56,49,66	3,1,0	178	149
54685	0,0,1	53,57,52	0,2,0	49,52,53	233	149
54686	41,0,18	83,82,46	0,0,50	66,74,86	173	149
54687	41,0,18	1,0,0	0,0,50	0,0,0	209	149
54688	83,82,46	1,0,0	66,74,86	0,0,0	185	149
54689	8104,7740,5780	0,0,0	7580,6900,8143	0,34,43	203	149
54690	21,12,16	112,90,97	16,18,56	140,143,161	296	149
54691	29,27,12	0,0,0	29,17,62	0,16,0	298	149
54692	1882,1420,1424	3,0,0	1522,1416,1670	0,0,0	151	149
54693	24,12,16	36,21,31	16,18,20	66,31,43	298	149
54694	8,3,9	2833,2255,2310	7,13,12	2505,2172,2659	160	149
54695	2039,1599,1540	5,0,0	1805,1564,1980	6,0,0	152	149
54696	2045,1607,1544	4,0,0	1807,1568,1985	0,0,0	156	149
54697	11,8,4	4,0,0	8,4,5	0,0,0	153	149
54698	1,3,4	1060,821,778	1,6,2	873,795,1031	197	149
54699	5,2,2	0,0,0	4,2,2	0,3,0	267	149
54700	8,2,2	0,0,0	4,2,2	0,3,0	298	149
54701	24,16,20	0,1,0	23,19,14	0,0,0	211	149
54702	109,107,108	0,1,0	89,104,118	0,0,0	152	149
54703	6,6,5	91,97,93	5,7,4	71,92,108	208	149
54704	9,5,11	0,1,0	11,3,5	0,0,0	298	149
54705	26,17,23	0,0,1	18,25,19	0,0,0	298	149
54706	92,84,97	0,0,0	80,50,74	2,0,0	298	149
54707	5,3,13	1,0,3	8,6,7	0,0,0	298	149
54708	40,27,17	3,0,0	22,14,24	0,0,0	202	149
54709	0,1,0	77,85,117	0,0,2	56,62,58	298	149
54710	215,191,218	0,0,0	146,156,152	0,2,0	154	149
54711	0,2,1	376,371,408	0,0,0	255,263,294	161	149
54712	19,32,20	1,1,2	23,16,41	0,2,0	197	149
54713	1,0,0	1,0,0	0,2,1	0,1,0	298	149
54714	0,0,0	15,15,17	0,2,0	8,21,25	175	149
54715	0,1,1	10,7,12	2,0,0	11,9,6	165	149
54716	0,1,0	3,2,2	3,0,1	3,4,7	173	149
54717	22,16,19	0,1,0	17,30,25	1,1,0	154	149
54718	7,20,12	1,0,0	13,15,12	0,0,0	172	149
54719	0,0,3	0,1,1	0,0,0	0,2,0	153	149
54720	5,5,5	0,0,1	3,1,7	1,0,0	298	149
54721	5,1,1	516,502,385	11,3,5	599,500,658	155	149
54722	0,1,1	4,4,3	1,0,0	4,4,3	298	149
54723	4,4,3	0,0,0	4,4,3	0,1,0	298	149
54724	4,4,3	20,25,11	4,6,3	11,15,28	298	149
54725	0,0,0	20,25,11	0,3,0	11,15,28	292	149
54726	3,4,8	0,0,0	8,5,8	2,0,0	210	149
54727	1,1,0	132,79,89	0,2,1	89,74,96	179	149
54728	9,14,25	0,1,0	13,12,24	0,0,0	298	149
54729	87,65,72	0,0,0	66,62,73	0,1,0	159	149
54730	161,157,143	0,2,0	99,136,140	0,0,0	151	149
54731	153,164,127	0,0,0	94,140,135	2,0,0	153	149
54732	1,6,0	595,636,584	1,3,1	442,454,471	176	149
54733	393,376,460	2,0,0	269,314,336	0,0,0	155	149
54734	571,695,676	0,1,0	452,513,466	0,0,0	184	149
54735	68,84,87	0,1,0	45,65,49	0,0,0	211	149
54736	68,85,87	0,1,0	45,64,49	0,0,0	233	149
54737	1,1,0	504,612,589	0,1,0	407,449,417	176	149
54738	1,2,0	504,612,589	0,0,0	407,449,417	198	149
54739	0,1,0	0,0,0	0,0,0	0,1,0	171	149
54740	6,3,3	0,0,1	0,1,5	0,0,0	153	149
54741	10,6,10	87,72,74	5,7,9	72,49,61	298	149
54742	113,119,73	0,0,0	73,81,107	0,2,0	298	149
54743	174,159,110	0,0,0	102,112,160	0,0,1	163	149
54745	4,3,3	5,3,0	3,2,1	1,2,3	247	149
54746	272,240,297	0,1,0	182,162,185	0,0,0	158	149
54747	1,0,1	3,0,0	0,0,1	0,0,0	298	149
54748	41,23,53	0,2,0	37,22,37	0,0,0	154	149
54750	1,0,2	0,0,1	0,0,0	1,0,0	298	149
54752	184,189,260	0,1,0	161,139,186	0,0,0	151	149
54753	184,189,260	2,0,0	161,139,186	0,0,0	155	149
54755	0,0,0	0,1,0	1,0,0	0,0,0	150	149
54756	3,6,0	203,150,142	13,4,4	171,154,198	169	149
54757	5,7,0	0,0,0	14,4,5	0,1,0	176	149
54758	205,151,142	0,0,0	172,154,199	0,1,0	156	149
54759	120,112,104	0,5,2	119,83,102	4,0,3	233	149
54760	128,93,130	0,2,0	106,69,111	0,0,0	185	149
54761	92,66,69	0,0,1	80,57,85	0,0,0	158	149
54762	188,141,134	0,0,0	163,121,192	0,0,2	167	149
54763	249,188,185	0,0,0	208,172,247	0,0,2	247	149
54764	64,57,56	0,0,0	49,53,62	0,0,2	229	149
54765	102,68,69	2,2,0	64,63,86	2,0,2	152	149
54766	4,2,0	0,1,0	4,5,3	0,0,0	154	149
54767	36,39,32	0,1,1	43,42,37	0,0,0	152	149
54768	17,11,18	0,1,0	13,16,7	0,0,0	215	149
54769	83,72,61	4,1,4	68,74,57	6,1,1	202	149
54770	0,3,0	129,103,126	0,0,0	117,97,119	249	149
54771	1,0,0	2,0,2	0,0,0	0,1,1	169	149
54772	7,5,11	3,0,4	2,7,5	0,4,1	152	149
54773	15,19,16	1,1,4	22,16,4	0,3,2	167	149
54774	15,19,17	20,24,33	27,16,4	29,27,30	188	149
54775	1,1,5	20,24,33	5,3,2	29,27,30	170	149
54776	0,2,0	8,3,5	1,1,2	10,8,10	298	149
54777	26,30,32	1,1,1	25,24,28	0,0,0	298	149
54778	0,1,1	21,25,23	1,0,0	17,15,26	298	149
54779	23,13,20	1,0,0	8,21,14	0,0,0	233	149
54780	1,1,0	0,1,3	4,0,0	3,2,4	168	149
54781	2,5,2	4,0,0	7,7,7	0,0,2	174	149
54782	4,6,2	1,0,0	7,9,7	0,1,0	224	149
54783	6,1,0	1,0,0	0,2,2	0,1,0	199	149
54784	7,6,5	1,0,0	6,6,9	0,0,0	157	149
54785	1,0,0	48,76,69	0,1,0	60,50,49	163	149
54786	2,1,0	51,36,45	0,0,0	40,45,35	193	149
54787	0,0,2	10,17,15	0,0,0	11,12,14	170	149
54788	14,14,22	0,0,0	21,19,25	0,0,1	255	149
54789	0,0,2	6,4,10	1,0,0	10,6,13	298	149
54790	13,13,15	0,1,2	11,19,18	1,0,0	154	149
54791	106,83,79	0,0,1	75,60,94	0,0,2	298	149
54792	2,0,2	44,27,38	4,0,0	25,26,34	176	149
54793	2,2,3	103,83,100	4,2,3	72,70,71	298	149
54794	1,7,4	74,57,46	1,3,2	37,58,58	179	149
54795	204,230,185	0,0,0	197,173,219	0,1,0	246	149
54796	139,162,149	0,0,0	139,120,148	2,0,2	298	149
54797	0,1,5	0,0,0	2,1,3	2,0,2	274	149
54798	12,6,9	1,0,0	22,14,13	1,0,1	298	149
54799	2,4,7	1709,1506,1642	8,4,3	2024,1785,2075	220	149
54800	648,483,506	0,0,0	733,634,672	0,0,2	185	149
54801	84,79,75	1,0,0	35,53,56	0,0,0	202	149
54802	0,0,5	70,42,60	2,2,1	25,43,31	298	149
54803	36,43,38	2,0,0	28,26,34	0,0,0	190	149
54804	43,54,48	0,0,1	38,34,49	0,0,0	208	149
54805	176,165,146	0,0,1	112,117,164	0,0,0	186	149
54806	2,0,4	0,0,0	3,4,1	0,1,0	298	149
54807	175,179,188	0,1,0	102,79,146	0,0,0	182	149
54808	0,0,2	170,148,189	1,3,6	105,84,134	194	149
54809	0,0,2	29,19,16	1,4,0	27,25,31	181	149
54810	0,0,0	286,236,242	1,0,2	260,221,349	239	149
54811	97,70,63	1,0,0	67,81,115	0,0,0	298	149
54812	470,389,341	1,0,0	371,349,540	0,0,0	160	149
54813	215,172,190	3,0,0	173,171,245	0,0,0	176	149
54814	699,549,552	0,6,1	539,513,669	4,10,1	192	149
54815	606,485,453	147,138,146	531,511,572	91,73,103	179	149
54816	11,25,8	2,0,0	25,20,11	0,0,0	298	149
