ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
146	147,117,149	13,11,7	147,131,185	15,9,6	267	149
148	8,5,4	389,370,316	5,16,7	449,501,382	230	149
149	198,186,225	16,3,11	241,157,228	4,4,19	230	149
150	30,32,28	33,54,54	49,22,53	36,19,31	2365	149
151	12,27,23	336,358,317	10,14,17	310,338,313	629	149
152	211,203,198	32,25,26	284,256,229	40,49,53	1071	149
153	3,15,14	125,112,100	14,9,11	114,127,108	225	149
155	191,252,214	15,10,7	195,179,195	4,7,9	385	149
156	49,46,66	0,0,1	37,72,58	1,0,1	559	149
157	101,73,72	8,13,16	93,80,85	11,6,15	231	149
159	2,0,0	2,0,1	0,3,2	0,1,0	394	149
161	382,320,364	1,0,0	417,378,410	3,0,0	5425	149
162	0,2,7	4,1,3	8,4,2	0,1,2	395	149
163	6,4,14	0,0,1	8,4,4	0,0,0	481	149
164	13,8,20	0,0,1	10,22,6	0,0,0	1013	149
165	10,6,13	6,3,17	2,18,4	0,0,3	600	149
167	24,34,21	846,697,702	23,30,28	766,737,715	235	149
168	0,1,0	2,2,0	0,1,2	0,1,1	784	149
172	101,60,63	2,2,3	84,95,91	0,1,2	632	149
174	0,1,0	2,0,0	0,0,1	0,0,0	348	149
175	13,9,11	0,4,2	14,9,10	3,2,2	424	149
176	0,2,2	17,6,4	6,4,0	11,17,16	365	149
178	11,18,18	89,50,82	36,28,22	52,52,46	632	149
179	2,3,4	47,49,42	10,0,8	34,44,48	348	149
180	2,3,2	0,0,0	2,2,4	0,2,0	395	149
181	2,2,0	6,8,6	1,1,0	14,5,8	360	149
182	3,4,2	3,4,1	1,0,0	3,3,0	296	149
184	169,137,201	350,482,492	128,56,147	443,296,387	233	149
186	20,26,29	88,82,72	15,21,23	59,68,79	302	149
188	870,1139,1147	84,74,72	898,795,1063	42,49,48	4146	149
191	0,2,5	10,1,8	10,7,12	11,3,5	256	149
192	0,2,5	0,1,0	9,7,11	3,2,0	232	149
196	25,17,17	6,6,2	35,33,25	11,8,5	304	149
197	12,11,2	1,2,0	3,7,8	0,0,1	237	149
198	125,158,118	1,2,0	154,170,156	4,2,4	336	149
199	28,11,17	171,133,143	19,10,22	102,145,106	227	149
200	106,84,65	167,134,142	57,91,55	146,143,132	445	149
201	26,14,28	11,2,7	12,9,19	5,10,4	1107	149
202	300,262,195	216,154,183	247,276,247	153,192,162	484	149
203	558,437,365	139,106,98	472,517,473	109,131,119	550	149
204	80,76,85	5,3,2	77,100,99	8,5,10	1304	149
205	82,76,85	632,554,482	77,100,99	548,672,587	1323	149
206	152,132,120	2612,2491,2841	115,97,119	2238,1854,2013	446	149
207	354,396,373	11,8,6	380,404,400	13,3,12	689	149
208	420,437,422	18,14,14	442,461,463	10,13,14	718	149
209	475,482,476	3346,2831,2932	475,500,496	2571,2466,2432	731	149
210	81,47,63	1352,1156,1090	67,35,81	1053,1180,1015	394	149
211	2,2,7	124,118,126	6,2,3	144,113,174	224	149
213	15,3,12	192,133,197	4,17,11	131,117,137	217	149
214	31,24,20	141,114,124	22,19,19	101,104,102	457	149
215	28,22,15	1,0,0	21,17,15	0,2,0	319	149
216	10,5,11	47,29,71	2,3,6	35,32,29	423	149
218	38,25,46	318,312,364	37,34,54	317,304,335	260	149
219	1,0,4	37,32,31	0,0,7	38,65,25	233	149
220	0,1,0	3,0,3	0,0,0	1,2,4	234	149
222	13,8,16	60,85,58	8,4,3	72,76,56	246	149
223	14,12,17	19,15,12	15,5,11	20,9,16	249	149
225	132,102,82	34,36,37	91,121,108	25,36,29	239	149
226	222,181,205	101,98,89	229,239,219	87,113,76	822	149
227	219,182,128	4453,3864,3326	189,253,203	3624,4437,3856	253	149
228	49,34,34	366,348,335	58,45,45	339,360,371	235	149
