ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
37778	84,85,67	2809,2413,2529	80,83,93	2309,2263,2811	201	149
37779	7,2,2	11,2,1	6,7,6	3,2,8	164	149
37780	7,2,3	11,2,1	7,7,5	3,2,8	166	149
37781	11,2,6	11,2,1	12,8,11	3,2,8	186	149
37782	7,2,2	11,2,1	7,7,5	3,2,8	189	149
37783	7,2,3	11,2,1	6,7,5	3,2,8	196	149
37784	0,0,1	0,0,0	1,0,0	0,0,1	151	149
37785	4,0,4	0,0,0	6,1,6	0,0,1	171	149
37787	0,0,1	0,0,0	0,0,0	0,0,1	181	149
37788	4,0,4	0,0,1	6,1,6	1,0,0	169	149
37789	0,0,0	0,0,1	1,0,0	1,0,0	172	149
37790	0,0,1	0,0,1	0,0,0	1,0,0	179	149
37791	0,0,0	4,0,4	1,0,0	6,1,6	152	149
37792	0,0,1	4,0,4	0,0,0	6,1,6	159	149
37793	0,0,1	0,0,0	0,0,0	1,0,0	156	149
37794	2015,1548,1588	0,4,5	1689,1537,1756	4,0,0	194	149
37795	10,5,2	295,320,258	8,5,9	257,223,329	298	149
37796	0,1,0	378,319,387	0,0,0	310,277,324	248	149
37797	266,299,326	0,1,2	244,253,270	0,0,0	173	149
37798	105,110,114	2,1,0	83,79,106	2,0,1	174	149
37800	61,95,145	0,0,1	34,66,48	0,0,0	151	149
37801	135,143,154	0,0,0	80,103,95	0,1,0	198	149
37802	499,402,479	1,0,0	457,438,525	1,0,0	150	149
37803	668,566,639	0,0,0	635,610,725	2,1,5	209	149
37804	170,164,160	0,0,0	179,172,200	2,1,5	208	149
37805	2,4,7	0,0,0	0,7,8	0,1,0	157	149
37806	16,16,15	624,627,550	15,6,12	637,605,731	271	149
37807	34,36,30	5,2,4	34,21,30	2,7,5	280	149
37808	54,49,42	0,0,0	46,34,43	0,2,0	288	149
37809	642,647,566	5,2,4	657,620,749	2,7,5	158	149
37810	662,660,578	0,0,0	669,633,762	0,2,0	166	149
37811	25,15,16	0,0,0	14,20,18	0,2,0	157	149
37812	618,561,632	0,0,0	614,667,605	3,0,2	152	149
37813	59,49,50	0,3,0	50,70,54	0,0,0	298	149
37814	58,43,55	0,0,0	37,41,62	0,0,1	298	149
37815	119,98,124	2,2,2	86,83,102	10,6,2	298	149
37816	12,15,24	0,3,1	17,12,12	0,0,4	298	149
37817	145,160,208	3,0,5	73,120,134	4,0,0	153	149
37818	42,45,54	0,2,0	35,35,32	0,0,0	269	149
37819	0,0,1	6,6,12	0,0,0	5,4,7	280	149
37820	10,17,19	2,1,1	7,6,12	2,2,0	298	149
37821	7,12,12	18,33,23	3,2,3	11,22,33	298	149
37822	16,23,30	2,1,1	12,10,19	2,2,0	298	149
37823	13,18,23	18,33,23	8,6,10	11,22,33	298	149
37824	3,1,1	18,33,23	2,2,0	11,22,33	195	149
37825	11,11,7	90,148,126	4,11,10	74,107,111	298	149
37826	14,12,5	4,3,4	9,9,9	0,5,1	298	149
37827	0,1,0	3,8,10	0,0,2	2,7,5	151	149
37828	0,1,0	124,113,105	0,0,2	73,122,101	181	149
37829	3,8,10	124,113,105	2,7,5	73,122,101	179	149
37830	77,127,114	2,1,2	87,119,97	3,0,1	150	149
37831	1,2,0	81,67,65	1,1,5	68,35,62	298	149
37832	0,0,0	158,134,114	0,1,0	141,89,133	244	149
37833	206,199,199	0,0,0	207,221,256	1,0,0	153	149
37834	12,17,10	0,0,0	5,4,8	1,0,0	298	149
37835	6,7,2	200,189,191	3,0,2	205,217,250	298	149
37837	110,100,86	0,0,0	85,85,84	0,0,1	153	149
37838	3,5,2	141,137,121	15,2,3	104,105,137	256	149
37839	6,8,1	0,1,0	17,1,5	0,0,0	298	149
37840	18,11,5	3,2,1	24,14,14	9,1,3	298	149
37841	1,0,0	1107,1061,908	0,0,1	1038,1067,1126	153	149
37842	0,1,0	1,1,0	1,0,2	0,0,0	153	149
37843	1,2,4	1,1,0	1,1,1	0,0,0	175	149
37844	1,1,4	0,0,0	0,1,1	0,0,2	171	149
37845	22,15,14	46,27,19	13,17,15	46,59,48	201	149
37846	23,17,14	46,27,19	15,18,19	46,59,48	205	149
37847	24,18,18	46,27,19	15,19,18	46,59,48	227	149
37848	64,56,41	0,2,0	55,47,44	0,0,0	231	149
37849	491,432,397	0,2,0	391,415,402	0,0,0	153	149
37850	25,18,16	450,394,370	15,18,19	351,385,376	227	149
37851	63,56,42	0,2,0	55,50,43	0,0,0	298	149
37852	33,26,28	450,394,370	25,26,29	351,385,376	298	149
37853	0,0,1	1,0,0	0,0,0	0,0,1	298	149
37854	389,339,346	0,0,0	368,307,423	2,0,0	153	149
37855	3,2,5	337,308,248	2,5,0	284,289,316	298	149
37856	12,4,9	2174,2563,2421	8,11,9	1845,1968,2035	290	149
37857	126,163,167	0,0,3	78,127,129	0,0,0	274	149
37858	2,0,0	2,0,0	2,0,0	0,0,0	179	149
37859	42,41,40	2,0,0	21,15,18	0,0,0	198	149
37860	42,41,40	2,0,0	21,15,18	2,0,0	168	149
37861	10,17,3	10,10,13	13,11,9	12,4,8	179	149
37862	0,1,0	10,10,13	0,0,0	12,4,8	188	149
37863	0,1,0	10,17,3	0,0,0	13,11,9	158	149
37864	385,405,418	10,10,13	362,385,342	12,4,8	198	149
37865	385,405,418	10,17,3	362,385,342	13,11,9	168	149
37866	385,405,418	0,1,0	362,385,342	0,0,0	159	149
37867	172,187,208	1,0,0	176,174,174	2,0,0	150	149
37868	122,92,110	2,0,0	82,83,111	0,0,0	298	149
37869	234,204,191	0,2,0	227,223,255	1,0,0	150	149
37870	0,0,0	236,218,218	0,1,0	222,217,256	196	149
37871	140,148,197	0,0,1	108,136,119	0,0,0	150	149
37873	529,525,536	0,0,1	429,382,426	0,1,0	298	149
37874	158,185,153	1,0,0	138,151,184	0,0,0	153	149
37875	4,6,5	29,40,41	2,4,2	41,29,40	153	149
37876	0,0,1	205,230,248	1,0,0	132,166,174	187	149
37879	0,0,0	1,0,0	2,0,0	0,0,0	298	149
37880	232,248,240	0,0,0	210,217,273	0,6,0	153	149
37881	5,13,5	108,103,117	11,9,7	100,84,110	195	149
37882	5,12,9	1,0,0	7,9,7	0,0,0	198	149
37883	59,85,84	0,0,1	64,78,65	0,0,0	271	149
37884	108,104,121	1,0,0	100,85,110	0,0,0	152	149
37885	162,177,196	0,0,1	157,154,168	0,0,0	225	149
37886	55,73,75	0,0,1	57,69,58	0,0,0	222	149
37887	0,0,1	67,98,80	0,0,0	43,57,69	298	149
37888	95,131,122	0,0,0	106,132,157	0,0,1	181	149
37889	0,0,0	3,2,0	2,0,3	2,2,6	198	149
37890	1080,1181,1333	0,0,2	1173,1165,1202	0,0,0	151	149
37891	83,99,109	3827,3114,3984	91,106,106	3424,3027,3521	153	149
37892	22,32,10	1,0,0	8,14,17	0,0,0	298	149
37893	3,1,3	518,568,494	0,0,5	477,520,533	298	149
37894	4,1,3	518,568,494	0,0,5	477,520,533	298	149
37895	2451,1982,2136	0,0,0	2350,2155,2604	1,1,0	244	149
37896	9459,8932,7994	0,0,0	9652,9006,10968	1,1,0	245	149
37897	7008,6950,5860	0,0,2	7302,6851,8364	0,0,0	150	149
37898	24,19,13	369,300,382	20,13,20	275,222,279	153	149
37900	0,0,0	1,3,10	4,3,0	0,4,3	298	149
37901	1,0,0	565,510,499	1,0,2	513,452,600	227	149
37902	12,10,8	545,553,545	12,7,10	523,453,551	153	149
37903	135,105,89	0,0,0	134,117,122	1,0,0	213	149
37904	668,650,626	0,0,0	645,563,664	1,0,0	209	149
37905	2,1,0	350,290,292	4,1,0	322,259,319	298	149
37906	16,4,10	638,485,550	9,5,13	527,468,486	153	149
37907	0,2,2	0,1,0	3,9,2	1,0,0	298	149
37908	90,116,117	0,0,0	105,137,129	0,2,0	150	149
37909	0,2,0	63,70,78	0,0,0	82,81,59	297	149
37910	0,0,0	63,70,78	0,0,1	82,81,59	298	149
37911	0,0,0	0,2,0	0,0,1	0,0,0	224	149
37914	0,0,2	76,72,79	0,0,0	78,57,61	298	149
37915	263,294,341	0,0,0	291,262,270	1,0,0	150	149
37916	158,145,146	0,0,0	125,139,164	0,2,0	150	149
37917	0,0,0	27,20,26	1,0,0	20,16,16	267	149
37918	918,898,1116	0,3,0	645,683,773	0,0,1	152	149
37919	442,583,583	3,1,2	447,479,511	0,0,0	298	149
37920	227,217,244	0,0,0	266,199,233	0,0,1	246	149
37921	10,14,4	829,802,725	17,8,4	822,758,818	154	149
37922	8,4,10	528,482,392	0,2,4	498,420,477	298	149
37923	1,0,0	221,175,220	0,0,0	169,138,159	298	149
37925	2,1,1	497,534,712	0,0,0	409,446,478	298	149
37926	604,652,793	1,0,0	539,569,608	0,2,0	150	149
37927	509,609,566	0,0,0	472,557,549	1,0,0	154	149
37928	977,1165,1139	0,1,0	927,1027,1081	0,0,0	150	149
37929	1014,1182,1161	0,0,2	924,966,1036	0,0,0	160	149
37930	176,179,159	0,0,2	164,155,147	0,0,0	152	149
37931	3,9,7	0,0,2	3,6,2	0,0,0	178	149
37932	253,310,280	0,0,0	243,239,228	0,0,2	169	149
37933	2,5,1	4,2,2	0,0,1	0,0,0	298	149
37934	0,0,1	6,9,1	0,0,0	9,5,1	298	149
37935	69,116,110	0,0,1	67,58,86	0,0,0	154	149
37936	2,2,1	129,179,210	0,0,1	100,93,91	152	149
37937	3,0,0	129,179,210	7,0,0	100,93,91	251	149
37938	3,0,0	2,2,1	7,0,0	0,0,1	248	149
37940	0,1,2	31,13,31	0,0,0	18,17,19	298	149
37941	0,0,0	5,21,12	2,7,0	7,6,13	288	149
37942	0,0,0	5,1,4	1,0,0	2,8,7	298	149
37943	0,1,0	5,1,1	3,0,0	3,3,5	298	149
37944	0,0,0	38,24,17	0,0,1	26,26,25	155	149
37945	1,3,4	70,83,54	5,5,1	54,50,63	298	149
37946	99,114,105	2,5,6	65,68,98	0,0,0	282	149
37947	4,0,3	4,0,2	2,0,2	0,0,4	171	149
37948	5,3,11	67,88,80	8,1,6	56,90,67	298	149
37949	5,3,10	67,88,80	6,1,8	56,90,67	298	149
37950	484,544,459	0,0,0	381,427,390	0,1,0	155	149
37951	130,158,136	0,0,0	128,132,81	0,0,3	150	149
37952	1,0,1	155,120,101	5,0,2	99,91,99	298	149
37953	0,0,0	57,51,45	1,4,1	32,45,36	298	149
37954	712,680,748	0,0,0	555,539,669	1,0,0	298	149
37955	3,0,4	0,2,1	4,2,1	1,2,2	298	149
37956	406,399,418	0,2,1	366,380,416	1,2,2	298	149
37957	716,708,713	0,0,1	641,621,709	1,0,0	202	149
37958	1097,802,1143	0,0,0	729,691,828	1,0,0	158	149
37959	22,30,26	0,0,0	8,13,12	1,0,0	167	149
37960	0,2,2	1075,774,1119	0,2,0	721,680,816	158	149
37961	3125,2997,2518	0,2,2	2731,2487,3111	0,0,1	156	149
37962	0,0,4	0,0,0	0,0,0	0,1,0	171	149
37963	24,30,32	6044,6630,5128	28,25,31	5826,5305,6968	176	149
37964	28,32,38	21,18,19	130,27,32	0,13,2	179	149
37965	24,30,28	6044,6630,5128	28,26,31	5826,5305,6968	154	149
37966	28,32,34	21,18,19	130,28,32	0,13,2	157	149
37967	6048,6632,5134	21,18,19	5928,5307,6969	0,13,2	152	149
37968	2077,1871,1878	43,0,55	1874,1703,2149	0,0,69	218	149
37969	2606,2448,2278	0,0,0	2282,2129,2724	1582,0,0	221	149
37970	3412,3214,2920	0,0,2	2897,2848,3578	2,0,0	239	149
37971	572,577,455	0,0,0	408,426,644	1582,0,0	152	149
37972	1378,1343,1097	0,0,2	1023,1145,1498	2,0,0	170	149
37973	806,766,642	0,0,2	2197,719,854	2,0,0	167	149
37974	339,261,244	0,0,0	308,223,303	0,1,0	213	149
37975	535,578,400	0,0,0	412,428,579	16,0,0	152	149
37976	346,251,229	0,2,0	310,231,316	0,0,0	225	149
37977	481,426,444	0,0,1	395,339,418	0,0,0	221	149
37978	2,0,0	1577,1534,1404	1,2,0	1443,1376,1561	298	149
37979	1292,1345,1397	0,0,0	1505,1448,1600	2,0,0	173	149
37980	0,0,0	192,172,165	0,0,1	183,196,223	187	149
37981	0,2,2	0,0,0	0,2,2	0,1,0	181	149
37982	0,2,4	83,136,141	3,3,1	75,78,44	298	149
37983	313,219,229	0,2,0	203,205,270	0,0,0	242	149
37984	1063,960,921	0,0,0	1087,933,1117	0,1,1	150	149
37985	1064,962,923	1,0,0	1087,933,1117	0,2,0	151	149
37986	1,2,2	1,0,0	0,1,1	0,2,0	150	149
37987	1954,1694,1502	0,0,0	1376,1171,1523	0,1,0	298	149
37988	2,0,1	1526,1352,1431	0,0,0	986,991,1297	234	149
37989	110,118,141	0,0,0	137,86,105	8,1,2	298	149
37990	114,126,140	1,0,0	141,86,107	0,0,0	169	149
37991	703,586,616	0,0,0	616,560,674	0,1,0	190	149
37992	0,0,2	122,108,157	1,0,0	98,92,132	161	149
37993	3,1,0	3,0,0	1,2,13	0,0,0	298	149
