ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
51215	1,2,1	3,2,6	4,1,1	5,4,6	426	149
51216	1,2,1	1,0,2	11,1,4	5,3,0	508	149
51217	5,1,1	1,2,0	2,1,5	1,2,1	176	149
51218	3,0,0	3,2,6	0,0,0	5,4,6	310	149
51219	3,0,0	1,0,2	7,0,3	5,3,0	392	149
51220	1,2,0	3,2,6	1,2,1	5,4,6	283	149
51221	1,2,0	1,0,2	8,2,4	5,3,0	365	149
51222	3,2,6	1,0,2	12,4,9	5,3,0	231	149
51225	1,0,0	0,0,0	0,0,0	0,0,1	179	149
51226	0,0,1	0,0,0	0,0,0	0,0,1	153	149
51227	0,7,4	2,4,0	1,0,1	0,2,1	475	149
51230	102,83,87	0,0,0	61,76,78	0,0,1	151	149
51231	0,1,0	443,403,363	0,0,2	373,320,334	253	149
51232	6,3,4	3,2,0	6,12,4	2,0,0	333	149
51233	6,3,4	195,262,199	6,12,4	157,143,197	349	149
51234	3,2,0	195,262,199	2,0,0	157,143,197	165	149
51235	2,0,1	1,0,0	2,1,0	0,0,0	333	149
51236	2,0,1	2,0,3	2,1,0	0,4,2	349	149
51237	1,0,0	2,0,3	0,0,0	0,4,2	165	149
51240	6,5,7	5,3,3	1,3,9	0,5,8	405	149
51241	237,259,293	5,3,3	194,258,202	0,5,8	246	149
51242	5,3,3	45,52,80	0,5,8	51,63,53	207	149
51243	5,3,3	26,16,20	0,5,8	16,16,12	395	149
51244	5,3,3	1,0,0	0,5,8	0,0,0	454	149
51245	26,16,20	1,0,0	16,16,12	0,0,0	208	149
51249	12,8,6	1,1,0	14,12,11	1,1,0	190	149
51250	40,14,11	9,6,7	26,26,38	6,3,8	224	149
51251	29,7,5	9,6,7	13,15,27	6,3,8	183	149
51252	1728,1539,1405	0,0,0	1586,1402,1683	2,0,0	202	149
51253	447,431,417	0,0,0	415,433,486	0,1,0	224	149
51254	20,14,33	902,703,799	31,32,27	824,702,806	153	149
51255	1331,1120,1183	0,0,0	1208,1105,1267	0,1,0	220	149
51256	871,821,740	0,2,0	845,838,903	0,0,0	161	149
51257	431,383,369	9,5,4	434,391,440	0,6,17	181	149
51258	361,355,352	1,0,1	296,226,314	0,2,0	181	149
51260	1,3,1	0,1,0	0,0,0	2,0,0	173	149
51261	56,60,28	63,62,67	48,45,32	24,19,36	519	149
51262	1,4,3	0,1,0	0,0,0	2,0,0	154	149
51263	56,61,30	63,62,67	48,45,32	24,19,36	500	149
51264	0,0,0	143,185,143	1,0,0	215,237,216	153	149
51265	0,0,0	0,2,0	1,0,0	0,0,0	293	149
51266	143,185,143	0,2,0	215,237,216	0,0,0	289	149
51267	50,32,78	0,0,0	42,21,44	0,0,6	154	149
51268	0,0,1	22,14,51	0,0,0	21,23,29	446	149
51269	782,847,906	2,2,0	855,800,905	0,0,0	151	149
51270	22,27,20	2,2,0	15,16,3	0,0,0	376	149
51271	0,0,0	0,2,0	0,0,2	0,0,0	241	149
51272	1114,1040,1016	0,0,0	1175,1103,1334	0,0,2	167	149
51273	2625,3085,2417	0,1,0	2601,2548,3039	0,0,2	150	149
51274	3,3,5	0,0,2	3,2,4	0,1,0	173	149
51275	507,611,598	0,1,0	402,458,453	0,0,0	430	149
51276	0,0,0	203,246,261	1,0,0	178,197,213	152	149
51277	19,27,22	0,0,0	8,12,22	0,0,4	197	149
51278	184,151,260	0,0,0	153,173,184	0,0,4	371	149
51279	0,0,1	977,992,982	0,2,0	857,856,913	152	149
51280	334,324,258	0,0,0	281,264,314	0,5,0	151	149
51281	1,2,2	40,43,51	0,0,1	43,39,45	153	149
51282	0,0,0	30,26,44	2,0,0	22,41,24	154	149
51283	2,1,6	1,0,0	5,8,1	0,1,0	320	149
51285	2,0,3	1,2,3	1,1,0	0,2,1	158	149
51287	511,615,531	2,4,3	342,480,485	0,2,0	156	149
51288	819,714,684	0,0,0	702,705,689	0,1,0	154	149
51289	39,42,55	0,1,0	38,36,49	0,0,0	305	149
51290	2,0,1	38,63,65	0,0,3	64,53,69	182	149
51291	3687,4175,3015	0,0,1	2743,3014,3386	0,0,0	150	149
51292	41,51,53	0,1,0	26,22,22	0,0,0	159	149
51293	134,153,94	0,0,3	62,47,43	0,0,0	207	149
51294	116,138,145	3,0,0	94,74,90	0,0,0	150	149
51296	0,0,1	0,0,0	0,1,0	0,1,0	190	149
51297	924,858,819	0,0,0	516,463,530	0,1,0	213	149
51298	924,858,819	0,0,1	516,463,530	0,1,0	172	149
51299	2176,2015,2072	0,0,0	1203,1118,1385	1,0,0	214	149
51300	21,10,15	0,0,0	13,12,9	0,1,2	185	149
51301	114,94,124	0,0,0	115,110,114	0,0,2	495	149
51302	4,9,8	0,0,1	11,5,9	0,0,0	150	149
51303	0,0,0	0,0,1	0,0,1	0,1,0	227	149
51305	3,4,8	0,1,0	4,6,2	0,0,0	203	149
51306	0,6,0	602,519,499	4,0,0	568,499,690	154	149
51307	23,24,11	1,0,0	24,13,22	0,0,0	158	149
51308	40,30,29	1,1,1	27,20,29	2,0,0	162	149
51309	11,30,19	0,0,0	13,26,30	0,2,1	551	149
51310	625,537,510	1,0,0	588,512,712	0,0,0	153	149
51311	642,543,528	1,1,1	591,519,719	2,0,0	157	149
51312	18,6,18	1,1,1	3,7,7	2,0,0	153	149
51313	9,18,17	0,0,0	7,21,20	0,2,1	542	149
51314	9,19,18	0,0,0	9,21,20	0,2,1	538	149
51315	42,38,53	2,1,3	37,48,42	0,0,0	200	149
51316	63,53,61	0,0,0	58,69,74	0,1,0	215	149
51317	6,8,8	0,0,0	4,9,5	0,1,0	164	149
51318	147,141,135	0,2,0	173,208,172	0,0,0	346	149
51319	18,15,21	0,1,0	11,21,17	0,0,0	207	149
