ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
162	13,19,17	1,0,0	6,14,7	2,0,3	298	149
163	0,1,6	4,1,3	2,0,3	3,0,2	298	149
164	6,1,4	0,0,1	2,0,1	1,0,0	298	149
165	12,5,11	0,0,1	12,10,16	0,0,0	298	149
168	24,29,21	843,696,701	29,25,19	656,523,687	235	149
173	24,12,22	2,2,3	16,30,22	0,5,0	298	149
176	13,8,11	0,4,2	11,6,8	1,0,3	298	149
177	0,2,2	16,6,3	3,3,0	10,11,11	298	149
179	10,10,12	89,50,82	12,9,9	63,45,50	298	149
180	2,2,4	47,49,42	2,4,0	43,38,45	298	149
181	2,2,0	6,8,6	0,0,0	16,8,10	298	149
182	3,4,2	3,4,1	1,2,1	2,2,0	296	149
184	169,137,200	349,482,492	98,77,119	414,415,459	233	149
186	20,26,28	88,82,72	11,22,27	64,56,66	298	149
188	352,437,394	84,74,72	403,353,390	33,51,55	298	149
191	1,2,5	10,1,8	10,3,3	3,3,2	256	149
192	1,2,5	0,1,0	10,3,2	0,2,0	232	149
196	24,16,17	6,6,2	37,20,8	6,9,3	298	149
197	12,11,2	1,2,0	15,4,13	3,1,2	237	149
198	99,69,85	1,2,0	91,131,137	3,3,2	298	149
199	28,11,15	171,133,144	5,10,14	127,106,150	227	149
200	81,62,53	158,123,132	77,51,45	128,133,187	298	149
201	16,7,10	11,2,7	9,7,2	4,7,4	298	149
202	260,226,169	216,153,183	192,172,239	161,145,164	298	149
203	490,388,320	139,106,98	383,348,429	102,91,117	298	149
204	31,18,24	5,3,2	14,10,25	6,0,0	298	149
205	33,18,24	632,553,481	14,10,25	469,434,587	298	149
206	135,111,112	2603,2480,2834	98,112,96	1932,1997,2366	298	149
208	267,248,237	18,14,14	272,256,305	14,19,15	298	149
209	320,294,293	3349,2827,2929	289,294,339	2536,2251,2687	298	149
210	75,44,55	1352,1159,1090	39,40,73	1073,984,1201	298	149
211	0,0,7	115,112,119	2,3,5	83,106,124	224	149
213	13,3,12	191,133,197	8,7,9	152,96,167	217	149
214	25,21,15	141,114,124	20,10,11	98,87,108	298	149
215	25,20,15	1,0,0	22,11,11	0,0,0	298	149
216	5,4,9	47,29,71	2,0,1	36,26,48	298	149
218	55,31,37	280,261,328	45,41,34	274,286,256	260	149
219	1,0,4	37,32,31	1,4,1	16,20,45	233	149
220	0,1,0	3,0,3	0,0,2	7,2,0	234	149
222	7,5,7	59,84,56	7,6,5	41,62,71	246	149
223	10,10,8	19,15,12	8,9,10	11,14,15	249	149
225	132,102,82	34,36,37	110,96,124	15,21,22	239	149
226	126,96,114	101,98,89	112,83,130	42,34,66	298	149
227	211,170,126	4443,3866,3319	205,216,272	4845,4696,5585	253	149
228	47,30,33	366,348,335	46,63,74	433,379,532	235	149
230	5,6,4	0,2,0	3,3,1	0,1,0	298	149
231	8,8,6	90,101,85	4,6,4	54,84,79	298	149
232	2,1,2	42,39,32	0,3,3	47,30,61	298	149
233	4,2,4	0,3,4	0,9,6	5,3,1	298	149
234	3,4,2	100,78,85	0,9,7	94,65,126	298	149
236	6,7,8	1,0,0	0,11,12	0,0,0	298	149
237	6,6,6	11,7,11	0,12,9	5,9,8	298	149
239	5,6,6	2,3,3	0,11,11	1,1,1	298	149
240	22,8,16	0,0,0	16,17,34	0,5,1	262	149
241	13,3,3	72,87,65	7,14,16	69,62,82	230	149
242	2,4,4	68,71,52	2,2,2	70,63,81	284	149
243	0,0,3	11,9,9	0,0,1	8,9,11	298	149
244	60,59,47	191,169,142	59,42,73	174,176,193	239	149
245	11,23,20	303,261,239	27,19,30	247,246,288	242	149
247	80,79,76	0,2,5	82,67,94	1,7,7	283	149
248	8,11,4	0,0,0	10,2,6	0,0,1	298	149
250	24,13,27	3423,2682,2723	26,16,41	2737,2311,2795	240	149
251	98,66,72	553,465,448	75,101,105	500,432,565	246	149
252	139,99,121	4,0,5	127,113,147	11,8,7	298	149
253	105,74,124	833,678,679	101,90,118	718,657,780	298	149
254	45,27,18	1353,1188,1142	21,8,22	1160,1148,1464	242	149
255	57,34,23	149,105,124	40,19,39	126,101,186	245	149
256	171,138,153	274,275,203	125,126,130	196,191,218	238	149
257	210,166,178	4,3,2	161,150,154	1,2,3	249	149
258	169,158,139	122,95,94	116,98,137	115,94,165	298	149
259	213,184,170	1630,1267,1184	137,107,163	1031,908,1115	298	149
260	74,59,87	40,33,35	49,39,58	43,42,38	298	149
261	109,92,107	18,20,17	73,64,104	15,19,31	298	149
262	92,73,91	0,0,1	56,50,72	0,2,0	298	149
263	210,193,172	2,0,0	134,109,151	0,0,0	298	149
264	113,128,155	2104,1801,1626	78,83,92	1422,1342,1561	298	149
265	94,103,111	0,3,0	55,48,51	0,0,0	298	149
266	135,131,152	4,0,0	110,129,130	0,0,0	298	149
267	109,91,71	3512,3247,2521	92,102,94	2471,2526,2940	298	149
268	8,10,12	154,157,203	9,8,6	112,133,112	298	149
269	333,348,302	1,5,6	218,241,252	3,0,1	246	149
271	335,352,303	70,49,58	221,244,255	41,45,54	251	149
272	206,205,175	1,1,0	137,157,154	0,1,0	298	149
273	14,18,18	224,202,200	22,18,18	132,140,172	298	149
274	13,9,14	398,351,450	14,12,12	288,250,349	298	149
275	48,42,29	665,625,699	63,58,72	714,662,715	298	149
278	41,13,28	49,36,18	21,12,15	23,25,38	239	149
280	16,11,19	148,177,180	20,15,16	127,101,128	298	149
281	3,3,0	12,21,19	1,0,1	19,10,13	241	149
282	601,546,624	201,189,187	528,585,610	267,176,265	298	149
283	340,324,429	2,8,3	318,345,375	1,0,2	298	149
284	336,321,429	616,581,505	312,337,370	572,503,634	298	149
285	394,344,472	671,571,627	349,374,404	683,611,741	230	149
287	6851,6241,5702	3,3,5	4710,4382,5326	0,3,3	150	149
288	23,9,12	2,4,1	4,6,1	0,0,2	298	149
